2025-11-25 01:06:00,023 INFO  [DefaultQuartzScheduler_Worker-2] [JobValidarAlertasProcesamiento] Job No. 7486
2025-11-25 01:12:00,019 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:12:00,020 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:12:00 CST 2025
2025-11-25 01:12:00,020 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:18:00 CST 2025
2025-11-25 01:12:00,023 INFO  [DefaultQuartzScheduler_Worker-3] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:12:00,024 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:12:00,024 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:12:00,024 INFO  [DefaultQuartzScheduler_Worker-3] [JobValidarAlertasProcesamiento] Job No. 7487
2025-11-25 01:18:00,014 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:18:00,015 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:18:00 CST 2025
2025-11-25 01:18:00,015 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:24:00 CST 2025
2025-11-25 01:18:00,018 INFO  [DefaultQuartzScheduler_Worker-4] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:18:00,020 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:18:00,020 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:18:00,020 INFO  [DefaultQuartzScheduler_Worker-4] [JobValidarAlertasProcesamiento] Job No. 7488
2025-11-25 01:24:00,015 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:24:00,016 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:24:00 CST 2025
2025-11-25 01:24:00,016 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:30:00 CST 2025
2025-11-25 01:24:00,018 INFO  [DefaultQuartzScheduler_Worker-5] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:24:00,020 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:24:00,020 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:24:00,020 INFO  [DefaultQuartzScheduler_Worker-5] [JobValidarAlertasProcesamiento] Job No. 7489
2025-11-25 01:30:00,011 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:30:00,012 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:30:00 CST 2025
2025-11-25 01:30:00,012 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:36:00 CST 2025
2025-11-25 01:30:00,018 INFO  [DefaultQuartzScheduler_Worker-6] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:30:00,019 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:30:00,020 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:30:00,020 INFO  [DefaultQuartzScheduler_Worker-6] [JobValidarAlertasProcesamiento] Job No. 7490
2025-11-25 01:36:00,016 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:36:00,017 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:36:00 CST 2025
2025-11-25 01:36:00,017 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:42:00 CST 2025
2025-11-25 01:36:00,019 INFO  [DefaultQuartzScheduler_Worker-7] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:36:00,021 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:36:00,022 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:36:00,022 INFO  [DefaultQuartzScheduler_Worker-7] [JobValidarAlertasProcesamiento] Job No. 7491
2025-11-25 01:42:00,014 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:42:00,015 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:42:00 CST 2025
2025-11-25 01:42:00,015 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:48:00 CST 2025
2025-11-25 01:42:00,018 INFO  [DefaultQuartzScheduler_Worker-8] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:42:00,019 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:42:00,019 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:42:00,019 INFO  [DefaultQuartzScheduler_Worker-8] [JobValidarAlertasProcesamiento] Job No. 7492
2025-11-25 01:48:00,016 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:48:00,016 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:48:00 CST 2025
2025-11-25 01:48:00,016 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 01:54:00 CST 2025
2025-11-25 01:48:00,023 INFO  [DefaultQuartzScheduler_Worker-9] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:48:00,025 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:48:00,025 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:48:00,025 INFO  [DefaultQuartzScheduler_Worker-9] [JobValidarAlertasProcesamiento] Job No. 7493
2025-11-25 01:54:00,014 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 01:54:00,015 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 01:54:00 CST 2025
2025-11-25 01:54:00,015 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 02:00:00 CST 2025
2025-11-25 01:54:00,020 INFO  [DefaultQuartzScheduler_Worker-10] [ConsumidorIntegradoSvcImpl] ****************Cantidad de alertas encontradas del jConsumer de no procesamiento******************************:0
2025-11-25 01:54:00,021 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] ----Respuesta de la alerta para detener el jConsumer-------------------------->NO
2025-11-25 01:54:00,021 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] ----Estado del jConsumer de aduanas, corriendo:----------------------------------------=>true
2025-11-25 01:54:00,021 INFO  [DefaultQuartzScheduler_Worker-10] [JobValidarAlertasProcesamiento] Job No. 7494
2025-11-25 02:00:00,017 INFO  [DefaultQuartzScheduler_Worker-1] [JobValidarAlertasProcesamiento] --------------------------------------------------------------------
2025-11-25 02:00:00,018 INFO  [DefaultQuartzScheduler_Worker-1] [JobValidarAlertasProcesamiento] Inicio validar alertas: Tue Nov 25 02:00:00 CST 2025
2025-11-25 02:00:00,018 INFO  [DefaultQuartzScheduler_Worker-1] [JobValidarAlertasProcesamiento] Siguiente activacion validar alertas scheduled: Tue Nov 25 02:06:00 CST 2025
